Algorytm,Rozmiar_N,Uklad_Danych,Sredni_Czas_s,Srednie_Porownania,Srednie_Zamiany
QuickSortIter,5000,random,0.011817,68956,39677
QuickSortIter,5000,ascending,0.011953,60707,30896
QuickSortIter,5000,descending,0.014483,106325,63415
QuickSortIter,5000,a_shaped,0.080393,591214,284658
QuickSortIter,5000,v_shaped,0.565929,4090606,2098506
QuickSortRec,5000,random,0.014222,72553,41126
QuickSortRec,5000,ascending,0.015591,71646,43134
QuickSortRec,5000,descending,0.012094,70124,41314
QuickSortRec,5000,a_shaped,0.018403,73098,43726
QuickSortRec,5000,v_shaped,0.012904,69588,42270
ShellSort,5000,random,0.079081,338665,53525
ShellSort,5000,ascending,0.014830,56797,0
ShellSort,5000,descending,0.026419,103994,16094
ShellSort,5000,a_shaped,0.030845,113580,15619
ShellSort,5000,v_shaped,0.035396,113580,15660
